etiqueta,duracion,energia,periodicidad
silence,0.923,0.00479,0.9513
unvoice,0.0329,0.021715,0.3324
voice,0.4244,0.150816,0.3476
unvoice,0.1696,0.033516,0.3857
silence,0.9501,0.000669,0.1082
silence,0.8301,0.002903,0.8773
unvoice,0.0307,0.01269,0.1985
voice,0.2019,0.209968,0.3004
unvoice,0.1632,0.013565,0.2525
silence,0.3941,0.000706,0.4595
silence,0.8649,0.005804,0.9851
unvoice,0.0936,0.010214,0.2583
voice,0.4126,0.182125,0.4646
unvoice,0.0918,0.011194,0.7076
silence,0.7171,0.001266,0.3289
silence,0.9172,0.003204,0.8982
unvoice,0.0746,0.012734,0.161
voice,0.4358,0.228599,0.72
unvoice,0.0991,0.011936,0.3688
silence,0.3033,0.000412,0.3173
silence,0.9056,0.00521,0.9771
unvoice,0.0411,0.014864,0.2507
voice,0.3014,0.120699,0.4218
unvoice,0.087,0.008434,0.4398
silence,0.1749,0.001715,0.2173
silence,0.0871,0.000264,0.3302
silence,0.5108,0.005952,0.8804
silence,0.5109,0.000559,0.3897
unvoice,0.0156,0.000901,0
voice,0.3547,0.061965,0.7717
unvoice,0.0708,0.006389,0.6161
silence,0.2401,0.001652,0.3554
silence,0.8011,0.003539,0.9339
silence,0.0691,0.000692,0.4375
unvoice,0.0467,0.016149,0.2751
voice,0.3061,0.159275,0.8413
unvoice,0.1238,0.023335,0.6636
silence,0.4432,0.000369,0.2761
silence,0.9868,0.003842,0.9652
silence,0.0936,0.000529,0.6556
unvoice,0.0486,0.018449,0.3365
voice,0.2321,0.208401,0.9192
unvoice,0.0843,0.015612,0.4312
silence,0.8346,0.000505,0.137
silence,1.1534,0.003061,0.9362
unvoice,0.0433,0.04437,0.4471
voice,0.3954,0.209703,0.9422
unvoice,0.0623,0.002701,0.4237
silence,0.5656,0.001628,0.2602
silence,1.2074,0.003409,0.9597
unvoice,0.1986,0.001842,0.3734
voice,0.2867,0.188405,0.333
unvoice,0.1243,0.026651,0.2992
silence,0.613,0.000449,0.4852
silence,0.5907,2.10E-05,0.7583
unvoice,0.0353,0.000158,0.1361
voice,0.1769,0.06517,0.7142
unvoice,0.1159,0.003981,0.2897
silence,0.8292,5.00E-06,0.1348
silence,0.4586,0,0
unvoice,0.0685,0.001463,0.0563
voice,0.6557,0.110525,0.6496
unvoice,0.1298,0.006406,0.7405
silence,0.3288,0.000342,0.3549
silence,0.5219,0,0
unvoice,0.0435,0.000186,0.0007
voice,0.1729,0.057316,0.4814
unvoice,0.1024,0.001649,0.3708
silence,0.822,2.30E-05,0.1587
silence,0.6702,0,0
unvoice,0.1487,0.000265,0.2229
voice,0.5006,0.042142,0.3191
unvoice,0.3918,0.00114,0.3573
silence,0.3567,4.50E-05,0.1499
silence,0.4453,0,0.1514
unvoice,0.1029,0.000327,0.0493
voice,0.619,0.039552,0.7732
unvoice,0.333,0.00121,0.5475
silence,0.3331,6.00E-06,0.1843
silence,0.4475,0,0
unvoice,0.1621,0.000327,0.2471
voice,0.2087,0.053741,0.3966
unvoice,0.7033,0.000302,0.2769
silence,0.0131,0,0
silence,0.6063,1.00E-06,0.0001
unvoice,0.6288,0.000742,0.4741
voice,0.5458,0.036954,0.46
unvoice,0.2929,0.00079,0.5172
silence,0.2929,5.00E-06,0.1569
silence,0.6269,0,0
unvoice,0.0491,0.000637,0.0208
voice,0.6855,0.041212,0.3437
unvoice,0.2524,0.000775,0.3179
