vocal,F1,F2,F3
AH,938.5,1633.6,2331.3
AA,1004,1499.1,2193.2
AE,1001.3,1405.5,2604.8
AO,886.4,1274,2335.5
EH,2075.8,2476.1,2864.4
IY,2351.9,3307.8,4685.8
IH,94.4,2066,2733.2
UW,418.9,1776.3,2507
UH,471.8,983.2,2573.6
EH,294.2,1585,1951.8
IH,412.5,2146.8,2516
UH,383,683.1,2185.2
AA,843.3,2221.2,3046.3
EH,385.3,2254.6,2662.6
IY,344.6,2586.5,3422.3
UW,618.5,717.3,1976.1
AE,695.6,1175.9,2311.7
AO,752.5,1566.2,2935.6
ER,523.9,1121.4,2159.2
AH,1174.2,2566.1,3150.9
AH,580.9,1421.4,3628.9
AO,352.8,769.9,3750.7
EH,332.1,2697.7,4025.1
ER,629.5,1463.3,3048.5
IH,457.4,3132.6,4225.7
IY,254.7,3251.6,4132.2
UH,477.2,3321.9,4139.4
UW,419.5,1995.1,3529.7
AA,437.1,787.2,3438.9
AE,568.4,1542.6,3589.2
IY,287.7,2233.6,3264.1
ER,536,1684.1,2369.2
IH,401,1502.5,3009.9
EH,596,1464.2,2223
AE,663,1424.6,2503.4
AH,529.7,1240.6,2578.1
AA,435.1,1316.7,2626.4
AO,605.4,832.6,2006.4
UH,436.6,1367.1,2554.5
UW,170.7,1287.7,1883.9
IY,321,2456.5,3204
IH,456.9,2105.9,2899.3
EH,546.5,1902.7,2713.2
AE,689.2,1752.7,2381.8
AH,868.3,1596.5,2475.6
AA,715,1079.2,2480.9
AO,546.6,807.4,2398.3
UH,435.1,719.7,2648.1
UW,483.7,1144.1,2701.2
ER,293.2,922.4,2182
IY,390.7,2676,3279.8
IY,420.7,2809.8,3378.4
IY,386.7,2267.6,2931.7
IY,266.7,2607.8,3333.4
IY,296.9,2148.5,3088.1
IY,281.8,2442.7,3153.4
IY,312,1492.1,3356.5
IY,503,3389.1,3518.6
IY,410.3,558.5,3522.6
IY,268,3356.6,3911.8
IY,434.6,3533.2,3594.7
IY,426.2,3245.4,3682.9
IH,426.6,2306.1,2982.6
IH,612.5,2147.6,3226.4
IH,563.7,1781.8,2567
IH,455.8,2100.6,2758.1
IH,404,1842.1,2567.7
IH,520.1,1933.1,2679.2
IH,474.4,1727.4,2781.2
IH,575.1,3170.7,3305.1
IH,603.1,762.8,2744.6
IH,450.6,1722.2,2947.5
IH,679.5,2786.1,3472.6
IH,612.2,1250.2,2585.8
EH,574.3,2229,2980
EH,760.9,2194.2,3177.9
EH,605.2,1814.2,2518.7
EH,530.1,2002,2716
EH,541.1,1719.7,2566.5
EH,653,1751.6,2758.2
EH,603.6,1667.2,3282.5
EH,596.9,1029.8,2589.4
EH,749.6,1309.8,2790.7
EH,710,1762.4,2568.5
EH,906.1,1135.7,2484.8
EH,745.1,2288.3,3410.5
AE,772,2225,2976.8
AE,913,1996.4,2996.8
AE,762.1,1837.2,2508.6
AE,605.4,1809,2523.6
AE,632.6,1787.4,2663.3
AE,702,1713.3,2523
AE,572.5,1189.2,2439.6
AE,872.5,1241.3,2594.8
AE,1158.8,2498.1,2923.6
AE,945.4,1499.7,2365.9
AE,373.3,1343.5,2320.9
AE,956.8,1532.1,2213.4
AH,730.8,1822.8,2889.3
AH,803.7,1821.5,3186.1
AH,693.1,1606.8,2582.2
AH,608.1,1532.5,2744
AH,613.2,1695.4,2643.9
AH,705.8,1417.6,2646.8
AH,631.3,1424.2,2246.2
AH,763.7,2060.2,3663.5
AH,774.8,1660.6,1910.2
AH,673.4,1748.4,2162.5
AH,711.7,1607.8,2599.3
AH,731.2,1843.5,1949
AA,847.5,1354.9,2967
AA,1090.8,1612,2984.4
AA,788,1095.6,2748.4
AA,800.6,1273.4,2477.9
AA,751.6,1275.7,2739.5
AA,870.1,1184.3,2548
AA,1179.7,1668.5,3747.7
AA,1013.6,1541.1,1752
AA,1182.9,1702.4,3896.6
AA,1018.3,1582.4,3382.1
AA,1087,1680.8,2371.6
AA,1005.9,1536.1,2980.1
AO,721.4,1165.4,3306.1
AO,764.8,1274.1,2949
AO,694.4,1132.6,2577.3
AO,705.1,1051.3,2388.6
AO,716.7,1082.9,3046.5
AO,698.7,1019.3,2814.7
AO,644.5,1182.6,1563.6
AO,766.4,1295.9,3716.9
AO,1024,1624.5,2897.4
AO,943.2,1455.8,3021.5
AO,393.6,1087.6,1823.2
AO,850.3,1411.8,1444.8
UH,436.7,1696.5,2715.4
UH,553.1,1715.2,2983.6
UH,533.7,1505.5,2538
UH,443.1,1347.7,2379.9
UH,424.9,1610.8,2330.1
UH,489.1,1399,2643.1
UH,523.6,1402.2,2427
UH,499.3,1937.5,3266.4
UH,556.2,1708.3,3059.5
UH,492.5,1832.6,3451
UH,584.8,1512.4,3010.6
UH,527.7,2064.5,3513.5
UW,405,1901.9,2545.2
UW,444.7,1423.1,2940.2
UW,388.1,1843.1,2384.7
UW,324.4,1294.2,2364.3
UW,356,1665.6,2181.2
UW,307.8,1221,2687
UW,328.2,949.6,1759.2
UW,484.7,2039.6,3967
UW,405.1,1236.9,1968.1
UW,467.4,1974.1,3210
UW,500.4,1819.3,3347.2
UW,410,1567,3521.6
ER,510.1,1640.2,1974.5
ER,541.6,1191.8,1605.2
ER,506.9,1355.8,1718.4
ER,457.5,1394.9,1687.4
ER,567.5,1304.2,1565.6
ER,531,1342.3,1624.1
ER,513.3,1949.2,2448.6
ER,615.6,900.4,2216
ER,666.7,1244.4,1956.6
ER,508.3,1712.9,2273.4
ER,697.6,1882.9,2442.4
ER,616.2,1591.1,2064.7
